sentence text,event interval start,event interval end,trigger,rule,polarity,controller,controlled
""" Mutation in VHL tumor suppressor gene causes the stabilization of HIF-1alpha and initiates gene transcription of its target genes , leading to up-regulation of several angiogenic factors and growth factors [ XREF_BIBR - XREF_BIBR ] . """,3,12,causes,Positive_activation_syntax_1_verb,Positive_activation,"""VHL""","""HIF-1alpha"""
""" Here we demonstrate that assembly of IKKalpha with IKKbeta in the heterodimeric signalsome serves two important functions : ( i ) in unstimulated cells , IKKalpha inhibits the constitutive IkappaB kinase activity of IKKbeta ; ( ii ) in activated cells , IKKalpha kinase activity is required for the induction of IKKbeta . """,26,35,inhibits,Negative_activation_syntax_1_verb,Negative_activation,"""IKKalpha""","""IKKbeta"""
""" Moreover , inhibition of IKKbeta , but not IKKalpha , led to significantly increased apoptosis in response to doxorubicin . """,3,10,inhibition,Negative_activation_syntax_3_noun,Negative_activation,"""IKKalpha""","""IKKbeta"""
""" Moreover , IKKalpha has anti-inflammatory properties and can inhibit the IKKbeta and NF-kappaB activity and lower the expression of inflammatory cytokines XREF_BIBR , XREF_BIBR . """,3,12,inhibit,Negative_activation_syntax_1_verb,Negative_activation,"""IKKalpha""","""IKKbeta"""
""" Moreover , IKKalpha can attenuate IKKbeta initiated inflammatory responses . """,3,7,attenuate,Negative_activation_syntax_1_verb,Negative_activation,"""IKKalpha""","""IKKbeta"""
""" It is known that the mTOR signaling pathway can inhibit the inflammatory response in microglia and monocytes by reducing NF-kappaB activation and enhancing STAT3 activity and anti-inflammatory IL-10 production [ XREF_BIBR , XREF_BIBR ] , whereas inhibition of mTOR with or without rapamycin has reciprocal effects [ XREF_BIBR - XREF_BIBR ] . """,6,25,inhibit,Negative_activation_syntax_1_verb,Negative_activation,"""mTOR""","""STAT3"""
""" We included mammalian target of rapamycin ( mTOR ) and STAT3 that were previously reported to be under the influence of glutamine : glutamine can activate mTOR through phosphorylation on S2448 , XREF_BIBR and mTOR can in turn activate STAT3 by phosphorylation on S727 XREF_BIBR ( human sequences ) . """,8,41,activate,Positive_activation_syntax_1_verb,Negative_activation,"""mTOR""","""STAT3"""
""" Based on these results we designed a smaller panel of 62 agents containing targeted compounds that effectively reduced STAT3 activity , including cyclin dependent kinase ( CDK ) , mammalian target of rapamycin ( mTOR ) , heat shock protein 90 ( Hsp90 ) , and Janus kinase ( JAK ) inhibitors . """,18,36,reduced,Negative_activation_syntax_5_verb,Negative_activation,"""mTOR""","""STAT3"""
""" Conversely , deletion of TSC2 , the key negative regulator of mTOR , diminished NF-kappaB but enhanced STAT3 activity and reversed this proinflammatory cytokine shift . """,12,19,diminished,Negative_activation_syntax_1_verb,Negative_activation,"""mTOR""","""STAT3"""
""" HDL functions are impaired by myeloperoxidase ( MPO ) , which selectively targets and oxidizes human apoA1 . """,6,18,targets,Positive_activation_syntax_5_verb,Positive_activation,"""myeloperoxidase""","""apoA1"""
""" 31 In addition , a recent study in mice linked myeloperoxidase mediated oxidation of apoA1 to impairment of reverse cholesterol transport in vivo and the ability of apoA1 to reduce lipid and macrophage content in atherosclerotic lesions . """,11,16,mediated,Positive_activation_syntax_1_verb,Positive_activation,"""myeloperoxidase""","""apoA1"""
PLX4720 and BRAF siRNA leads to AKT signaling in BRAF V600E mutated and PTEN- melanoma cell lines .,6,10,signaling,Positive_activation_syntax_3_noun,Positive_activation,"""AKT""","""BRAF"""
""" Three BRAF mutations identified in this study are novel , altering residues important in AKT mediated BRAF phosphorylation and suggesting that disruption of AKT induced BRAF inhibition can play a role in malignant transformation . """,24,27,induced,Positive_early_activation,Positive_activation,"""AKT""","""BRAF"""
""" Interestingly , treatment with single agent trametinib caused upregulation of AKT signaling in BRAF non V600E cells only , suggesting a potential escape mechanism for development of resistance to treatment with MEK inhibitor alone . """,11,15,signaling,Positive_activation_syntax_3_noun,Positive_activation,"""AKT""","""BRAF"""
""" The BRAF p.V600E hotspot mutation is reported in 3 % of NSCLC and alters residues important in AKT mediated BRAF phosphorylation , suggesting that the disruption of AKT induced BRAF inhibition plays a role in malignant transformation XREF_BIBR , XREF_BIBR . """,28,31,induced,Positive_early_activation,Positive_activation,"""AKT""","""BRAF"""
Baseline AKT signaling in the BRAF WT cell lines was indicated by the constitutive phosphorylation of GSK3alpha ( S21 ) ( XREF_FIG ) .,1,6,signaling,Positive_activation_syntax_3_noun,Positive_activation,"""AKT""","""BRAF"""
""" The Bcl-2 antagonist ABT-737 targets Bcl-2 and Bcl-xL , but not Mcl-1 , which may confer resistance to this agent in various cancers with high levels of Mcl-1 . """,4,9,targets,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
ABT-737 reverses the acquired radioresistance of breast cancer cells by targeting Bcl-2 and Bcl-xL .,0,14,reverses,Negative_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" In the present study , we aimed to determine if ABT-737 , a BH3-only mimic , could reverse the acquired radioresistance of the breast cancer cell line MDA-MB-231R by targeting Bcl-2 and Bcl-xL . """,11,34,reverse,Negative_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" Obatoclax and ABT-737 caused strong upregulation of Bcl-XL in Mel-RM cells , decreasing after 16 hours , whereas upregulation of Bcl-XL by ABT-737 was slower and increased to 32 hours in MM200 cells . """,19,24,upregulation,Positive_activation_token_2_noun,Positive_activation,"""ABT-737""","""Bcl-XL"""
""" Obatoclax and ABT-737 caused strong upregulation of Bcl-XL in Mel-RM cells , decreasing after 16 hours , whereas upregulation of Bcl-XL by ABT-737 was slower and increased to 32 hours in MM200 cells . """,3,9,caused,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-XL"""
""" The Bcl-2 antagonist ABT-737 targets Bcl-2 and Bcl-xL , but not Mcl-1 , which may confer resistance to this agent . """,4,9,targets,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
Our results demonstrate that ABT-737 exposure caused the appearance of cleaved Bcl-2 and induced the downregulation of Bcl-xL and Mcl-1 in two sensitive ALL samples .,4,18,induced,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" ABT-737 exposure caused the cleavage of Bcl-2 and the downregulation of Bcl-xL and Mcl-1 only in the MOLT-4 cell line , whereas their expression resulted not affect in the resistant CEM S model . """,1,13,caused,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" Platelet survival is extended in mice lacking the pro apoptotic proteins Bak and Bax , whereas platelet clearance is accelerated in mice lacking the pro survival proteins Bcl-2 , Bcl-xL , and Mcl-1 , and in mice treated with the BH3 mimetic ABT-737 ( inhibitor of pro survival Bcl-2 , Bcl-xL , and Bcl-w ) . """,43,52,inhibitor,Negative_activation_syntax_7_noun,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" Interestingly , we also found that Bcl-xL and Bcl-2 are not targeted by ABT-737 in either human oral cancer cell line ( XREF_SUPPLEMENTARY ) . """,7,15,targeted,Positive_activation_syntax_2_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" ABT-737 , a small molecule BH3-only mimetic developed by Abbott Laboratories , specifically targets the antiapoptotic bcl-2 members Bcl-2 , Bcl-xL and Bcl-w . """,1,22,targets,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" A shift or adjustment of the importance of fatty acid metabolism in CLL seemed to also happen after Dasatinib treatment and could be supported by the effect of ABT-737 , a BH3 mimetic compound which targets BCL-XL , BCL-2 , and BCL-W [ XREF_BIBR ] . """,29,38,targets,Positive_activation_syntax_5_verb,Positive_activation,"""ABT-737""","""BCL-XL"""
""" Additionally , primary p19 Arf deficient MEF expressing BCL-xL or empty vector were treated with ABT-737 . """,9,17,treated with,Positive_activation_surface_treated_with,Positive_activation,"""ABT-737""","""BCL-xL"""
""" ABT-737 , which targets BCL-2 , BCL-XL , and BCL-W [ XREF_BIBR ] , was found to potentiate the response to docetaxel in PDX models of triple negative breast cancer [ XREF_BIBR ] , suggesting that elevated BCL-2 expression in this subtype constitutes a predictive marker . """,1,8,targets,Positive_activation_syntax_5_verb,Positive_activation,"""ABT-737""","""BCL-XL"""
""" BCL-xL dependent SVEC cells were treated with ABT-737 together with Q-VD-OPh and necroptosis was inhibited by nec-1 treatment , RIPK3 knockdown or by CRISPR and Cas -9 mediated deletion of the essential necroptosis executioner protein MLKL ( XREF_FIG , XREF_SUPPLEMENTARY ) . """,1,9,treated with,Positive_activation_surface_treated_with,Positive_activation,"""ABT-737""","""BCL-xL"""
SVEC cells expressing GFP-tBID 2A BCL-xL ( BCL-xL dependent SVEC cells ) were treated with ABT-737 +/- Q-VD-OPh .,7,16,treated with,Positive_activation_surface_treated_with,Positive_activation,"""ABT-737""","""BCL-xL"""
""" BCL-xL dependent SVEC cells were treated with ABT-737 together with Q-VD-OPh or with SMAC-mimetic ( SM-83 ) , and cell lysates were probed for c-IAP1 , NIK and XIAP ( XREF_FIG ) . """,1,9,treated with,Positive_activation_surface_treated_with,Positive_activation,"""ABT-737""","""BCL-xL"""
""" In contrast , high ( micromolar ) ABT-737 inhibits the actions of full-length Bcl-xL and markedly enhances Bcl-xL proteolysis , exacerbating mitochondrial and cellular damage from glutamate induced excitotoxicity . """,8,19,enhances,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" MG132 prevented the decrease in Bcl-xL protein level in the presence of high ABT-737 ( XREF_SUPPLEMENTARY ) ; therefore , high ABT-737 enhances proteolysis of Bcl-xL . """,22,27,enhances,Positive_activation_syntax_1_verb,Positive_activation,"""ABT-737""","""Bcl-xL"""
""" As part of the strategy to inhibit these anti-apoptotic proteins , Abbott developed a small molecule ( ABT-737 ) which targets Bcl-2 and Bcl-XL with high affinity but does not target MCL-1 XREF_BIBR , XREF_BIBR . """,18,25,targets,Positive_activation_syntax_5_verb,Positive_activation,"""ABT-737""","""Bcl-XL"""
Acute but Not Chronic TNF Induces a TNFR1 Dependent Loss of Paneth Cell Populations .,4,8,Induces,Positive_activation_syntax_1_verb,Negative_activation,"""TNF""","""TNFR1"""
""" Unlabeled TNF inhibited > 95 % of the specific binding of a Gaussia princeps luciferase ( GpL ) fusion protein of TNF to TNFR1 and TNFR2 and blocked binding of soluble GpL fusion proteins of TNFR1 and TNFR2 to membrane TNF expressing cells to > 95 % , too . """,2,37,blocked,Negative_activation_syntax_1_verb,Negative_activation,"""TNF""","""TNFR1"""
Wild-type TNF induces TNFR2 and Etk and activates both ASK1 and Etk but does not down-regulate TNFR1 .,1,17,down-regulate,Negative_activation_syntax_1_verb,Negative_activation,"""TNF""","""TNFR1"""
""" XREF_BIBR , XREF_BIBR Moreover , priming cells for a few hours with TWEAK results in depletion of the Triton X-100 soluble cytosolic pool of TRAF2-cIAP1/2 complexes and reduced TNF induced TNFR1 associated ubiquitination of RIP1 , which , as mentioned before , is mediated by the cIAPs . """,29,32,induced,Positive_early_activation,Negative_activation,"""TNF""","""TNFR1"""
""" Here we studied the influence of TNF and TNF receptors ( TNFR ) on intercellular adhesion molecule-1 ( ICAM-1 ) and macrophage influx following chronic constrictive injury ( CCI ) in mice by three different paradigms : ( 1 ) C57BL and Wld mice with delayed TNF up-regulation , ( 2 ) in vivo inhibition of TNFR1 and TNFR2 by neutralizing antibodies , and ( 3 ) three different types of mice with a genetic deficiency for TNFR . """,47,58,inhibition,Negative_activation_syntax_7_noun,Negative_activation,"""TNF""","""TNFR1"""
""" Unexpectedly , the constitutively dimeric SDF-1 protein , which was employed for structural studies , blocked CXCR4 mediated chemotaxis at low nanomolar concentrations . """,6,18,blocked,Negative_activation_syntax_1_verb,Negative_activation,"""SDF-1""","""CXCR4"""
""" The SDF-1 effect was blocked by a specific CXCR4 inhibitor , AMD3100 , or transfection of siRNA targeting CXCR4 . """,2,20,targeting,Positive_activation_syntax_1_verb,Negative_activation,"""SDF-1""","""CXCR4"""
""" CTCE-9908 , a peptide analog of SDF-1 and competitive inhibitor of CXCR4 , reduces the size of metastatic lesions derived from MDA-MB-231 human breast cancer cells , following injection into the left cardiac ventricle of nude mice [ XREF_BIBR ] . """,7,13,inhibitor,Negative_activation_syntax_3_noun,Negative_activation,"""SDF-1""","""CXCR4"""
This form of SDF-1 is unable to trigger CXCR4 signalling and prevent the chemoattractant function of SDF-1alpha and CXCR4 in human progenitor cells 15 .,3,9,trigger,Positive_activation_syntax_1_verb,Negative_activation,"""SDF-1""","""CXCR4"""
""" Interestingly , the administration of SDF-1 siRNA or neutralizing antibody against SDF-1alpha abolished high glucose induced up-regulation of CXCR4 . """,6,20,abolished,Negative_activation_syntax_1_verb,Negative_activation,"""SDF-1""","""CXCR4"""
It is intriguing to hypothesize that exogenous SDF-1 blocked binding of CXCR4 on canine donor cells to SDF-1 in recipient mouse muscle .,7,12,blocked,Negative_activation_syntax_1_verb,Negative_activation,"""SDF-1""","""CXCR4"""
""" Prior to testing the inhibitory activity of IL-24 on SDF-1 induced CXCR4 signaling , we determined whether H1299-IL24 cells responded to SDF-1 . """,10,13,induced,Positive_early_activation,Negative_activation,"""SDF-1""","""CXCR4"""
""" It is possible that hepatocytes or other liver cells take up 64 Cu-4 through CXCR4 independent pathways , which are blocked by excess cold 4 , but not by SDF-1 . """,15,31,blocked,Negative_activation_syntax_6_verb,Negative_activation,"""SDF-1""","""CXCR4"""
""" The resulting reduction in SDF-1 in bone marrow promotes mobilization of CXCR4 + cells , including Treg cells , to peripheral blood . """,5,13,promotes,Positive_activation_syntax_1_verb,Negative_activation,"""SDF-1""","""CXCR4"""
""" MAX may also bind to other transcription factors of the families MXD1 , MNT , and MGA that compete with MYC for the promoter E-box sequences and reduce the activity of the MYC target genes , thus potentially inhibiting cell growth and facilitating their terminal differentiation [ XREF_BIBR ] . """,1,34,reduce,Negative_activation_syntax_1_verb,Negative_activation,"""MAX""","""MYC"""
""" In other studies , miR-210 has been shown to modulate mitochondrial oxygen uptake and create a pseudo-hypoxic environment [ XREF_BIBR ] , or to act as an oncomiR by repressing the Myc antagonist Max binding protein [ XREF_BIBR ] ( MNT ) and as pro angiomir by targeting ephrin-A3 [ XREF_BIBR ] in other cancers . """,32,35,antagonist,Negative_activation_token_1_noun,Negative_activation,"""Max""","""Myc"""
""" XREF_BIBR , XREF_BIBR MYC and MAX activity may itself be inhibited by the competitive binding of MAX by MAD1 . """,4,18,inhibited,Negative_activation_syntax_2_verb,Negative_activation,"""MAX""","""MYC"""
""" The introduction of wild-type MAX cDNA into PC12 cells significantly decreased MYC 's ability to bind to canonical E-boxes , while pathogenic MAX proteins were not able to fully repress MYC activity . """,23,32,repress,Negative_activation_syntax_1_verb,Negative_activation,"""MAX""","""MYC"""
""" Max interactor protein , MXI1 ( gene L07648 ) competes for MAX thus negatively regulates MYC function and may play a role in insulin resistance . """,12,17,negatively regulates,Negative_activation_syntax_1_verb,Negative_activation,"""MAX""","""MYC"""
""" Thus , MYC and MAX heteromeric complexes can activate transcription , whereas MXD and MAX or MAX and MAX complexes can suppress activation of MYC target genes . """,15,26,suppress,Negative_activation_syntax_1_verb,Negative_activation,"""MAX""","""MYC"""
""" CYLD has been shown to target TRAF6 , TRAF2 , and NEMO for deubiquitination , thus presumably reduced their activities in NF-kappaB activation . """,1,8,target,Positive_activation_syntax_1_verb,Positive_activation,"""CYLD""","""TRAF6"""
It has been shown that the tumor suppressor CYLD targets TRAF6 for deubiquitination to terminate TLR triggered activation of NF-kappaB XREF_BIBR XREF_BIBR .,8,11,targets,Positive_activation_syntax_1_verb,Positive_activation,"""CYLD""","""TRAF6"""
""" 40 RANKL stimulated osteoclastogenesis potently induces the expression of CYLD , and the accumulated CYLD targets TRAF6 by interacting with the adaptor protein , p62 . """,15,18,targets,Positive_activation_token_1_verb,Positive_activation,"""CYLD""","""TRAF6"""
""" It has been well documented that insulin signaling and DNA modifications in FOXO affect longevity in humans XREF_BIBR , but little is known about the role and contribution of genes involved in immunity . """,7,14,signaling,Positive_activation_syntax_3_noun,Positive_activation,"""insulin""","""FOXO"""
""" Finally , lowered insulin signalling in wounded tissues themselves , as opposed to impaired vascular supply , may have an important role in the impaired wound healing in type 2 diabetes , and may imply that local up-regulation of insulin signalling or inhibition of FOXO is sufficient to effect an improvement . """,40,46,signalling,Positive_activation_syntax_3_noun,Positive_activation,"""insulin""","""FOXO"""
XREF_FIG demonstrates the complex signalling pathways through which oxidative stress and insulin can modulate FOXO activity to affect mitochondria .,11,15,modulate,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FOXO"""
It is well established that insulin signaling causes functional inactivation the FOXO transcription factor DAF-16 and that many of the consequences of reduced insulin signaling seen in daf-2 mutants require daf-16 [ XREF_BIBR ] .,5,12,causes,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FOXO"""
Lisa demonstrated that the insulin and IGF-1-PI3K signaling pathway modulates the activity of the DAF-16 and FoxO transcription factor to promote the anterior migrations of the hermaphrodite specific neurons during embryogenesis of C. elegans ( by signaling pathways that are conserved in humans ) .,4,17,modulates,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FoxO"""
""" Down regulation of the insulin signaling pathway increases C. elegans lifespan , stress tolerance , locomotory healthspan and resistance to proteotoxicity in a FOXO and DAF -16 dependent way XREF_BIBR . """,5,25,increases,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FOXO"""
""" A few of the identified compounds are known from previous work as having effects on glucose tolerance and insulin signaling , especially the PI3K inhibitors wortmannin and LY294002 , which cause insulin resistance and stimulate FOXO nuclear function ; the ATP dependent K + channel blocker repaglinide , which can mimic the effect of elevated glucose ; and the cAMP -- > PKA agonists IBMX and forskolin . """,19,37,stimulate,Positive_activation_syntax_5_verb,Positive_activation,"""insulin""","""FOXO"""
""" Both insulin resistance and oxidative stress stimulate back the transcriptional activity of FoxO proteins , inducing hyperglycemia and a further increased production of reactive oxygen species ( ROS ) closing the vicious circle XREF_BIBR . """,2,14,stimulate,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FoxO"""
""" In addition , insulin could activate FOXO 1 , but inhibit MnSOD and CAT , and as a consequence enhancing ROS production . """,4,8,activate,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FOXO"""
""" lin-14 ( lf ) does not extend lifespan without the critical downstream transcription factors of insulin signaling FOXO and DAF -16 or HSF-1 , suggesting that lin-14 modulates the level of insulin signaling , a well characterized mechanism for modulation of lifespan . """,16,19,signaling,Positive_activation_token_1_verb,Positive_activation,"""insulin""","""FOXO"""
""" Here , we demonstrate that the insulin and IGF-1-PI3K signaling pathway modulates the activity of the DAF-16 and FOXO transcription factor to regulate the anterior migrations of the hermaphrodite specific neurons ( HSNs ) during embryogenesis of C.elegans . """,7,20,modulates,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FOXO"""
The exception is that insulin addition reduced pEEA mRNA level that reflects the insulin induced FOXO mediated transcriptional reduction of 4E-BP .,13,16,induced,Positive_early_activation,Positive_activation,"""insulin""","""FOXO"""
""" Insulin initiates a complex cascade of intracellular events , one of which is the phosphorylation and inactivation ( through nuclear export ) of members the Foxo family of transcription factors . """,1,27,initiates,Positive_activation_syntax_1_verb,Positive_activation,"""Insulin""","""Foxo"""
""" We suggest that a critical function of the PPARs is to reduce insulin "" "" drive "" "" ( via appropriate tissue insulin sensitisation ) and thereby increase functional longevity by preventing the insulin mediated downregulation of FOXO . """,34,39,mediated,Positive_activation_syntax_1_verb,Positive_activation,"""insulin""","""FOXO"""
""" We demonstrate that the Hedgehog transcription factor Gli1 is targeted by Numb for Itch dependent ubiquitination , which suppresses Hedgehog signals , thus arresting growth and promoting cell differentiation . """,8,13,targeted,Positive_activation_syntax_2_verb,Positive_activation,"""Numb""","""Gli1"""
""" Phosphorylation of Ser 727 residue on STAT3 , which enhances its transcriptional activity [ XREF_BIBR ] , occurs in an ERK dependent fashion [ XREF_BIBR ] , while ERK1/2 can activate mTOR complex 1 ( mTORC1 ) directly [ XREF_BIBR ] or through functional inactivation of tuberous sclerosis factor 2 ( TSC2 ) [ XREF_BIBR ] in order to promote RAS dependent mTOR signaling . """,29,53,activate,Positive_activation_syntax_1_verb,Positive_activation,"""ERK1/2""","""TSC2"""
""" Intensive activation of the Ras-ERK1/2 pathway can also stimulate mTOR activity by ERK1/2 and RSK signalling to the tuberous sclerosis complex 2 ( TSC2 ) , which is sensitive to different growth factors and stress signals [ XREF_BIBR ] . """,9,25,stimulate,Positive_activation_syntax_3_verb,Positive_activation,"""ERK1/2""","""TSC2"""
We also found that EphA receptor activation by ephrin-A ligands in neurons led to inhibition of extracellular signal regulated kinase 1/2 ( ERK1/2 ) activity and decreased inhibition of Tsc2 by ERK1/2 .,27,32,inhibition,Negative_activation_token_2_noun,Positive_activation,"""ERK1/2""","""Tsc2"""
""" Consistent with this , a high membrane potential enhances the anterograde transport of mitochondria and also promotes the proteolysis of PINK1 FL into DeltaN-PINK1 , thereby inhibiting Parkin dependent mitophagy of active mitochondria . """,21,29,inhibiting,Negative_activation_syntax_1_verb,Negative_activation,"""PINK1""","""Parkin"""
""" In addition , PINK1 reduces the solubility of parkin , which induces the formation of microtubule dependent cytoplasmic aggresomes . """,4,10,reduces,Negative_activation_syntax_1_verb,Negative_activation,"""PINK1""","""parkin"""
Patient Mutations in PINK1 and Parkin Disrupt PINK1 and Parkin Pathway at Distinct Steps .,5,8,Disrupt,Negative_activation_token_1_noun,Negative_activation,"""PINK1""","""Parkin"""
""" We can not rule out that PINK1 may actively prevent mitochondrial damage and dysfunction , in addition to its signaling role in the PINK1 and Parkin pathway . """,7,27,prevent,Negative_activation_syntax_1_verb,Negative_activation,"""PINK1""","""Parkin"""
""" Since we now report that S nitrosylation of PINK1 inhibits the PINK1 and Parkin dependent mitophagy pathway , our findings suggest that formation of SNO-PINK1 could mediate this disruption in mitophagy , resulting in neuronal cell death and thus modeling disease pathogenesis in PD . """,9,15,inhibits,Negative_activation_syntax_1_verb,Negative_activation,"""PINK1""","""Parkin"""
""" Further , PINK1 downregulation did not disrupt the Parkin and Beclin1 interaction suggesting SESN2 mediated Parkin-Beclin1 interaction was PINK1 independent . """,3,10,disrupt,Negative_activation_syntax_1_verb,Negative_activation,"""PINK1""","""Parkin"""
""" Similarly , MCV MC159 and MC160 , were shown to interact with NEMO preventing IKKbeta activation and induce degradation of IKKalpha , respectively [ XREF_BIBR , XREF_BIBR ] . """,13,16,preventing,Negative_activation_syntax_1_verb,Negative_activation,"""NEMO""","""IKKbeta"""
""" The reduction in OPG may be due to the following reasons : OPG is a decoy for RANKL , as reduced RANKL may cause less activation of OPG , so the ratio of RANKL and OPG critically determines osteoclast formation ; or there are other negative regulatory mechanisms of RANK signaling that have been described that inhibit osteoclastogenesis , such as IFN-beta , which mediates a feedback mechanism that blocks further c-fos-dependent activity XREF_BIBR . """,22,29,cause,Positive_activation_syntax_1_verb,Negative_activation,"""RANKL""","""OPG"""
All OPG mediated effects could be prevented by RANKL antibodies or RANKL-siRNA transfection and MAPK inhibitor PD98059 reduced the stimulatory effect of OPG on integrin alphav expression .,1,9,prevented,Negative_activation_syntax_6_verb,Negative_activation,"""RANKL""","""OPG"""
""" Interestingly , although in vivo studies indicate that the increased RANKL and OPG ratio is attributable to decreased OPG in individual osteocytes , with RANKL remaining unchanged , in vitro studies have shown it to be a result of a simultaneous decrease in OPG and increase in RANKL . """,11,20,decreased,Negative_activation_syntax_1_verb,Negative_activation,"""RANKL""","""OPG"""
""" Moreover , miR-106b inhibitor treatment suppressed RANK ligand ( RANKL ) expression , increased osteoprotegerin ( OPG ) expression and reduced the RANKL : OPG ratio in CIA mice . """,10,26,reduced,Negative_activation_syntax_1_verb,Negative_activation,"""RANKL""","""OPG"""
RANKL enhanced activation of osteoclasts was attenuated in the castration+ OPG group .,0,11,enhanced,Positive_activation_syntax_1_verb,Negative_activation,"""RANKL""","""OPG"""
We first evidenced that FVIII.vWF complex inhibited RANKL induced osteoclastogenesis and enhanced the inhibitory effect of OPG .,7,17,enhanced,Positive_activation_syntax_1_verb,Negative_activation,"""RANKL""","""OPG"""
The balance between the osteoclast promoting RANKL and the osteoclast inhibiting OPG can regulate the number and activity of osteoclasts .,6,12,inhibiting,Negative_activation_syntax_1_verb,Negative_activation,"""RANKL""","""OPG"""
""" Although Rankl upregulation in osteocytes in the unloaded condition might increase bone resorption by reducing Opg release from osteocytes to the bone surface , the upregulation of Rankl in osteocytes by unloading is inconsistently observed . """,2,17,increase,Positive_activation_syntax_1_verb,Negative_activation,"""Rankl""","""Opg"""
""" Together , these experiments show that NSC-127102 suppresses the stimulation of p65 by CBP , but does not inhibit the stimulation of CREB by CBP . """,10,15,stimulation,Positive_activation_token_2_noun,Negative_activation,"""CBP""","""p65"""
""" Moreover , depletion of ATM in SUM159-P2 cells significantly downregulated ZEB1 and CHK1 proteins ( XREF_FIG ) ; in contrast , neither knockdown of ATR or treatment with the ATR inhibitor ETP-46464 50 affected ZEB1 protein levels ( XREF_SUPPLEMENTARY ) . """,5,14,downregulated,Negative_activation_syntax_1_verb,Negative_activation,"""ATM""","""CHK1"""
""" Therefore , it is not surprising that germ-line inactivation of ATR or Chk1 , but not ATM or Chk2 , result in early embryonic lethality . """,9,18,inactivation,Negative_activation_syntax_3_noun,Negative_activation,"""ATM""","""Chk1"""
""" Similarly , depletion or inactivation of ATR or Chk1 , but not ATM or Chk2 , affects cell viability . """,3,14,depletion,Negative_activation_syntax_3_noun,Negative_activation,"""ATM""","""Chk1"""
The effect of DNA damage on T210 phosphorylation could be overcome by inhibition of ATR or Chk1 but not ATM or Chk2 ( XREF_FIG ) .,12,20,inhibition,Negative_activation_syntax_3_noun,Negative_activation,"""ATM""","""Chk1"""
""" Inhibiting PHD3 , either with the pan prolyl hydroxylase inhibitor DMOG or hypoxia , inhibits the activation of the ATR and Chk1 pathway but not ATM and Chk2 pathway and decreases apoptosis induced by DNA damage [ XREF_BIBR ] . """,17,27,activation,Positive_activation_syntax_3_noun,Negative_activation,"""ATM""","""Chk1"""
Caspase 9 inhibition blocked the TNP induced activation of caspase 3 significantly .,0,11,blocked,Negative_activation_syntax_1_verb,Negative_activation,"""Caspase 9""","""caspase 3"""
""" When 23A2 myoblasts are cultured in DM , caspase 9 activity is increased and pharmacological abrogation of caspase 9 activation impairs caspase 3 activation and apoptosis . """,18,24,impairs,Negative_activation_syntax_1_verb,Negative_activation,"""caspase 9""","""caspase 3"""
Caspase 9 Processes Caspase 3 in Saccharomyces cerevisiae and MIHA Can Inhibit both Caspase 9 and Caspase 3 Processing .,0,18,Inhibit,Negative_activation_syntax_1_verb,Negative_activation,"""Caspase 9""","""Caspase 3"""
""" p53 blocks the functions of the anti-apoptotic Bcl-2 family members and activates some pro apoptotic factors , while caspase 9 , which initiates the executioner apoptotic caspase 3 and caspase 7 , can be further activated by Bak or Bax [ XREF_BIBR ] . """,19,29,initiates,Positive_activation_syntax_5_verb,Negative_activation,"""caspase 9""","""caspase 3"""
Irreversible inhibition of caspase 9 blocked downstream caspase 3 activation and prevented apoptosis .,3,9,blocked,Negative_activation_syntax_1_verb,Negative_activation,"""caspase 9""","""caspase 3"""
""" [ XREF_BIBR , XREF_BIBR ] Furthermore , targeting HER2 with either mAbs or TKIs has been shown to reactivate HER3 via an AKT mediated feedback loop . """,9,21,reactivate,Positive_activation_syntax_1_verb,Negative_activation,"""HER2""","""HER3"""
""" XREF_BIBR Strong inhibition of HER2 activity , however , appears to increase HER3 activity , HER2 's heterodimer that directly triggers the mitogenic signaling cascade . """,5,14,increase,Positive_activation_syntax_1_verb,Negative_activation,"""HER2""","""HER3"""
