sentence text,event interval start,event interval end,trigger,rule,polarity,pred_polarity,controller,controlled
"XREF_BIBR , XREF_BIBR Decreased insulin response reduces the PI3K-AKT pathway activity , which would negatively affect mTORC2 .",4,9,reduces,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""PI3K-AKT"""
"Insulin induced activation of Akt disrupted interactions between the C/EBPbeta transactivation domain and certain coactivator proteins ( such as p300 and CBP ) , abrogating C/EBP mediated activation of genes .",0,5,induced,Positive_early_activation,Positive_activation,Negative_activation,"""Insulin""","""Akt"""
The insulin resistance in the PDK1 K465E and K465E animals is thought to result from partial inhibition of insulin induced activation of Akt isoforms .,1,23,induced,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""insulin""","""Akt"""
"Nox4 gene silencing had a much greater inhibitory effect on insulin induced AKT activation than ERK1/2 activation , whereas it had little effect on the expression of the phosphatases such as MKP-1 and SHIP .",10,13,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""AKT"""
"In some tissues , such as cardiac muscle , insulin antagonizes activation of AMPK by activating Akt .",9,17,antagonizes,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Rab8 , Rab10 and Rab14 , the putative targets of AS160 XREF_BIBR , a RabGAP inactivated by the insulin induced PKB pathway XREF_BIBR , were also suspected to play a role in GLUT4 recycling .",18,21,induced,Positive_early_activation,Positive_activation,Positive_activation,"""insulin""","""PKB"""
Ang II inhibition of insulin stimulated IRS-1 tyrosyl phophorylation and Akt activation were reversed by PD98059 but not by SP600125 .,4,11,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Relative Srebp1c mRNA abundance was lower in Bad -/- liver ( XREF_SUPPLEMENTARY ) , which is consistent with reduced insulin stimulation of PI3K-AKT signaling in these mice .",19,23,stimulation,Positive_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""PI3K-AKT"""
"In agreement with this idea is that insulin resistant macrophages have reduced Akt activity , and are more susceptible to endoplasmic reticulum stress associated apoptosis contributing to macrophage death and necrotic core formation in atherosclerotic plaques XREF_BIBR , XREF_BIBR .",7,13,reduced,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Furthermore , overexpression of an Akt mutant in which the phosphorylation sites targeted by growth factors are replaced by alanine resulted in inhibition of insulin induced activation of Akt but not of PKClambda .",24,29,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Such changes are accompanied by diminished insulin stimulated Akt activation .,6,9,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"To determine whether the observed improvements in insulin resistance and phosphorylation status of IRS-1 and AKT are directly linked to TNF blockade or are secondary to reduction in disease activity and inflammation , we studied seven patients with RA , who received abatacept ( CTLA4.Ig ) due to high disease activity .",7,16,resistance,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""AKT"""
Silencing of miR-155 targets ( i.e. C/EBPbeta and HDAC4 ) and C/EBPbeta target PDK4 in cultured liver cells enhanced insulin stimulated AKT activation and glucose uptake .,19,22,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""insulin""","""AKT"""
"The results indicate that alterations in fatty-acid metabolism , impaired Akt activation by insulin , and increased caspase-3 activity precede visible evidence of apoptosis in HUVEC incubated in a hyperglycemic medium .",10,14,activation,Positive_activation_syntax_2_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"However , at this concentration , methyl-beta-cyclodextrin perturbed CMD of hepatocyte PM and inhibited insulin induced Akt activation and glycogen synthesis but did not affect insulin induced insulin receptor kinase tyrosine phosphorylation .",14,17,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"HFD causes insulin resistance in cortical and limbic structures , including decreased insulin stimulation of Akt , S6K , GSK3beta , and mTORC1 signaling , while AMP activated protein kinase ( AMPK ) stimulation is increased 104 .",12,16,stimulation,Positive_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Similarly , insulin induced Akt stimulation is also reduced in DRG neurons from animal models of T2D that develop DN : db/db and ob/ob mice [ XREF_BIBR , XREF_BIBR ] .",2,5,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Individuals with insulin resistance display reduced insulin stimulation of the PI-3K pathway [ XREF_BIBR ] , and insulin stimulated AKT kinase activity is reduced in patients with T2DM [ XREF_BIBR , XREF_BIBR ] .",17,20,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""AKT"""
IGF1R JM analogue 16 inhibited IGF-1 induced activity of AKT in a dose dependent manner ( XREF_FIG ) and was significantly less effective in inhibiting insulin induced activation of AKT .,25,30,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""AKT"""
"Because insulin resistance also partially impedes Akt signaling , we reasoned that the two pathways might be additive .",1,7,impedes,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Moreover , prolonged palmitate treatment of L6 myotubes invitro ( which mimics the high fatty acid levels observed in obesity ) led to constitutive STAT3 activation , increased SOCS3 protein abundance and impaired insulin stimulated Akt signaling XREF_BIBR .",33,36,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Similar to activation of the hexosamine pathway , also PKC activation is likely to result in retinal cell damage due to inhibition of insulin induced Akt activation [ XREF_BIBR ] .",23,26,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Genetic deletion of GNMT impaired glucose tolerance and insulin sensitivity via the accumulation of triglycerides and deregulation of insulin stimulated Akt activation and gluconeogenesis in the liver .,8,21,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Moreover , OLGly induced enhancement of adipogenesis , activation of insulin mediated Akt signaling pathway and inactivation of FoxO1 were effectively blocked by Wortmannin , a specific PI3K and Akt inhibitor , indicating the essential role of Akt signaling pathway in the process of OLGly stimulated 3T3-L1 adipogenesis .",10,13,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"For example , mice with endothelial deletion of the insulin receptor and knockout of apolipoprotein E ( EIRAKO mice ) fed a high fat diet demonstrated decreased Akt activation by insulin in association with impaired endothelium depending vasodilatation and accelerated atherosclerosis .",27,31,activation,Positive_activation_syntax_2_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Furthermore , the insulin induced activation of Akt was completely blocked by a PI3K inhibitor , suggesting that the activation of Akt is dependent on the activation of PI3K , the downstream effector of the IR .",3,8,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"In the insulin stimulated state , phosphorylation at IRS-1 Ser 1101 was elevated in PARL (-) muscle relative to control , in parallel with lower insulin stimulated Akt -Ser473 phosporylation ( XREF_FIG ) .",25,28,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Ou et al reported that glucose but not insulin induced AKT activation in TBK1 null MEFs and EGF mediated activation was slightly impaired .,8,11,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""AKT"""
"IGF1 induced Akt activation is inhibited by myostatin in skeletal muscle cells [ XREF_BIBR , XREF_BIBR ] , but a role for myostatin in the inhibition of insulin induced activation of Akt has not yet been demonstrated .",27,32,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"These FOXOs are also negatively regulated by insulin and IGF -1 signaling [ XREF_BIBR ] : Activation of insulin and IGF -1 signaling increases activity of a serine threonine kinase Akt , which in turn phosphorylates FOXOs .",18,31,increases activity,Positive_activation_syntax_3_noun,Positive_activation,Positive_activation,"""insulin""","""Akt"""
"All of these data indicate that IL-6-impaired insulin activation of IRS and AKT signaling cascades in a JNK dependent manner , in a similar fashion as detected for glucose uptake .",7,13,activation,Positive_activation_syntax_3_noun,Positive_activation,Positive_activation,"""insulin""","""AKT"""
"To test whether the higher insulin induced Akt activity in the ATP2B1 silenced endothelial cells is dependent on calmodulin , a calmodulin specific antagonist , W7 , was used .",5,8,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Chronic insulin or IGF-1 treatment of IRS-1-deficient mouse embryo fibroblasts inhibited IRS-2-mediated activation of Akt and ERK1/2 , which was reversed by lactacystin pretreatment .",1,15,inhibited,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Silencing of either or both proteins had no effect on Akt phosphorylation when compared to scrambled siRNA transfected cells treated with insulin ( XREF_FIG ) ; this indicates that this metabolic effect of insulin does not depend on IR translocation to the nucleus whereas nuclear Ca 2+ signals and cell proliferation do .,10,22,treated with,Positive_activation_surface_treated_with,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Evidence from our , and several other , experimental models of insulin resistance and T2DM has revealed impaired insulin mediated Akt and eNOS dependent signaling in the vasculature XREF_BIBR - XREF_BIBR .",18,21,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Reduced insulin stimulated Akt activation is explained by reduced stimulation of phosphorylation at both Thr 308 and Ser 473 residues , which appear to be due to increased physical interaction of TRIB3 with the pleckstrin homology domain of Akt .",1,4,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""insulin""","""Akt"""
"In skeletal muscle from obese humans and animal models of insulin resistance , insulin mediated Akt activation is reduced .",13,16,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
These data implicate decreased insulin stimulated Akt kinase activity as an important component underlying impaired GLUT4 translocation and insulin resistance in tissues from db/db mice .,4,7,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Incubation of L6E9 myotubes with palmitate caused accumulation of triglycerides , diacylgycerol , and ceramide , produced an activation of PKCtheta and PKCzeta , and blocked insulin stimulated glucose metabolism , reducing insulin stimulated PKB activity by 60 % .",32,35,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""PKB"""
"As shown in XREF_FIG , expression of G6pc and Pck1 was suppressed by insulin to the same extent in the TLKO livers as in the control livers , indicating that insulin was able to suppress the transcription of these two genes independent of Akt and Foxo1 in liver .",30,44,suppress,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"XREF_FIG ) , insulin stimulated Akt and FoxO1 activation decreased , and fasting blood glucose ( XREF_FIG ) , insulin levels ( XREF_FIG ) and glucose tolerance ( XREF_FIG , quantified in XREF_SUPPLEMENTARY ) returned to levels seen in wild-type mice .",3,6,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
The present study was undertaken to determine whether ceramides or other sphingolipids are increased in muscle from obese insulin resistant subjects and to assess whether ceramide plays a role in the insulin resistance of Akt in human muscle .,31,35,resistance,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"In summary , impaired vasorelaxation to insulin in aging was independent of metabolic insulin sensitivity and associated with impaired insulin mediated activation of the Akt and eNOS pathway , but intact activation of the acetylcholine mediated Ca ( 2+ )-calmodulin/eNOS pathway .",19,25,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Increased insulin resistance perturbs the PI3K-AKT pathway and increases activation of GSK3 , which further disrupts glucose homeostasis by negatively regulating key insulin signaling pathway molecules .",1,6,perturbs,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""PI3K-AKT"""
"While the expression of a NEP wt variant decreased activation of Akt by insulin and IGF-1 , a pseudophosphorylated ( Ser6Asp ) mutant had no significant effect .",9,14,activation,Positive_activation_token_2_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Thus these results are consistent with ATP relieving an insulin induced Akt dependent inhibitory effect on the ERK signaling pathway , leading to synergistic stimulation of CASMC proliferation .",9,12,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"In contrast , studies in more severe models of insulin resistance such as ob/ob mice or following a more aggressive high-fat protocol with 60 % fat leads to impaired insulin mediated activation of Akt and with FOXO1 dephosphorylation and nuclear localization 128 .",29,34,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"In addition , impaired insulin induced Akt and PKB activation was also normalized .",4,7,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Consequently , both baseline and insulin stimulated Akt activities were suppressed in the Tsc1-/- liver ( XREF_FIG ) .",5,8,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Together , these data suggest that global reductions of Pik3ca , and to a lesser extent Pik3cb lead to peripheral insulin resistance , likely due to an inability of insulin to activate Akt dependent processes .",29,33,activate,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
We showed that in vitro CAPE inhibits FGF stimulated Akt activation but not insulin stimulated Akt activation .,13,16,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Again , the insulin induced AKT activity was substantially decreased in AK023948 KO cells as compared with gRNA control ( XREF_SUPPLEMENTARY ) .",3,6,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""AKT"""
"Blunted insulin stimulated vasodilation , which was reversed with acute PKCbeta inhibition ( LY333-351 ) , occurred alongside decreased tissue perfusion as well as reduced insulin stimulated Akt signaling in the prefrontal cortex , but not the triceps .",25,28,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Defective insulin stimulated glucose transport activity in skeletal muscle of the obese Zucker rat can be attributed to reduced GLUT-4 translocation arising from impairments in the insulin signalling cascade , including decreased tyrosine phosphorylation of IR and IRS-1 , reduced Akt activation , and GSK-3 over-activity .",1,41,reduced,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Treatment of C57BL/6J mice with IL-6 resulted in impaired insulin dependent activation of the Akt and eNOS pathway in the aorta as a result of JNK and ERK1/2 activation .,9,15,activation,Positive_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Given the potential bi-phasic changes in insulin signaling that occur in the evolution of heart failure or systemic insulin resistance namely an activation of Akt , followed later by loss of insulin mediated Akt signaling , pathways by which Akt activation may promote heart failure versus mechanisms linking impaired insulin signaling with heart failure will be discussed separately .",31,34,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Insulin deficiency has been shown to cause the reduced function of AKT serine/threonine kinase 2 that suppresses the function of the intracellular motor , Myo5a .",0,12,cause,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Insulin""","""AKT"""
"Insulin stimulated Akt Thr 308 ( XREF_FIG ) andGSK-3alpha and beta ( datanot shown ) phosphorylation was not affected , indicating that Ang II/AT 1 R mediated EGF receptor transactivation is necessary for the inhibitory effect of Ang II on insulin induced Akt Thr 308 and GSK-3alpha and beta phosphorylation .",40,43,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Peripheral insulin resistance and ectopic lipid accumulation in mutant skeletal muscle , heart , and kidneys were accompanied by impaired insulin mediated Akt signaling in these organs .",20,23,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"The deletion of PIK3R2 increases insulin induced Akt activation , leading to increased anti-apoptosis [ XREF_BIBR ] .",5,8,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"Disruption of mTORC2 impairs the insulin induced activation of Akt , an mTORC2 substrate .",5,10,induced,Positive_early_activation,Positive_activation,Positive_activation,"""insulin""","""Akt"""
"In HF diet fed mice , resting and basal and insulin stimulated Akt and aPKC activities were diminished in muscle , but in liver , these activities were elevated basally and were increased by insulin to normal levels .",10,13,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
The decreased activation of SREBP1c in LTsc1KO hepatocytes is the result of mTORC1 driven inhibitory feedback mechanisms causing insulin resistance and attenuation of Akt signaling to its other downstream pathways .,18,24,resistance,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"We have previously shown that in endothelial cells , palmitate mediated activation of NF-kappaB signaling is associated with reduced insulin mediated Akt and eNOS signaling in endothelial cells XREF_BIBR .",19,22,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"According to this concept , insulin stimulated Akt activation is impaired in endothelial cells in obesity or diabetes .",5,8,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Decreased insulin stimulated Akt activation results in an impaired ability of insulin to suppress hepatic glucose output .,1,4,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""insulin""","""Akt"""
"In these cells , Ang II specifically inhibited activation of insulin induced Akt Thr 308 and its immediate downstream substrate GSK-3alpha and beta in a time dependent fashion , with ~ 70 % reduction at 15min .",10,13,induced,Positive_early_activation,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Knocking down the PTEN gene prevented oleate to inhibit insulin activation of Akt and insulin suppression of gluconeogenesis .,9,13,activation,Positive_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
Primary LH hepatocytes and high-fat-fed LH livers exhibited decreased insulin stimulated Akt activation ( XREF_FIG and XREF_FIG ) .,9,12,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""Akt"""
ADP also inhibits the activation of Akt by insulin .,4,9,activation,Positive_activation_token_2_noun,Positive_activation,Negative_activation,"""insulin""","""Akt"""
"These results indicate that insulin reduces the overall mobility of GLUT4 vesicles , and Myo1c is required for the immobilizing effect of the hormone .",4,11,reduces,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"A transgenic mouse model of Munc18c protein overexpression in adipose , skeletal muscle , and pancreas , exhibits peripheral insulin resistance resulting from impaired insulin stimulated glucose uptake and GLUT4 vesicle exocytosis , and decreased GSIS XREF_BIBR .",24,30,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"In summary , LBP-4a improved insulin resistance via translocation and activation of GLUT4 in OLETF rats , and the activation of PI3-K and p38 MAPK contributed to these effects .",5,13,resistance,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
Inhibitors of protein kinase C-zeta ( PKC-zeta ) abolish the insulin induced GLUT4 recruitment in rat adipocytes .,10,13,induced,Positive_early_activation,Positive_activation,Positive_activation,"""insulin""","""GLUT4"""
"Moreover , insulin stimulated Glut4 exocytosis over a time-course spanning 60min is also slower in ChREBP KO adipocytes with a half-time ( t 1/2 ) of ~ 7.35 min in ChREBP fl/fl and ~ 32.71 min in ChREBP KO adipocytes ( XREF_SUPPLEMENTARY ) .",2,5,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Glut4"""
"Concomitantly , insulin decreases GLUT4 equally from all intracellular locations , in agreement with the concept that the entire cellular GLUT4 pool contributes to insulin stimulated exocytosis .",2,5,decreases,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
XREF_BIBR Insulin stimulated GLUT4 translocation is generally impaired in type 2 diabetes .,1,4,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""Insulin""","""GLUT4"""
"Disruption of either protein yielded abnormal actin remodeling and subsequent inhibition in insulin mediated GLUT4 translocation ( XREF_FIG C , XREF_FIG B , and XREF_FIG C ) .",12,15,mediated,Positive_early_activation,Positive_activation,Positive_activation,"""insulin""","""GLUT4"""
"When the AS160-14-3-3 interaction was disrupted through a point mutation in a knockin mouse ( in which a non phosphorylatable alanine residue replaces Thr 642 on AS160 ) , insulin stimulated GLUT4 trafficking and glucose uptake was impaired in muscle , which consequently rendered the AS160 knockin mouse less sensitive to insulin [ XREF_BIBR ] .",29,32,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"Interestingly , in 3T3-L1 adipocytes , selective p38 MAPK inhibition with A304000 ameliorated the insulin dependent loss of GLUT-4 protein , but not the loss of IRS-1 protein , and resulted in increased insulin stimulated glucose transport activity [ XREF_BIBR ] .",14,19,loss,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""GLUT-4"""
"Insulin signaling also inhibits GLUT4 endocytosis , ensuring a longer duration of GLUT4 residence in the PM .",0,5,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Insulin""","""GLUT4"""
"These results indicate that insulin reduces the average mobility of GLUT4 vesicles , and Myo1c binding to actin mediates this immobilizing effect .",4,11,reduces,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"By contrast , insulin stimulated GLUT4 translocation was impaired upon IRAP knockdown , indicating that IRAP plays a role in GSV trafficking .",3,6,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
Mutation of this motif causes a decrease in the insulin induced exposure of GLUT4 at the cell surface of 3T3-L1 adipocytes via an effect on vesicle fusion .,9,14,induced,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"In the present study , we have confirmed the insulin induced repression of the rat GLUT4 promoter , used as a control for the activity of the Fugu GLUT4 promoter .",9,16,induced,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"In addition , insulin induced suppression of hepatic glucose production is impaired in adipose specific GLUT4 knockout mice .",3,16,induced,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"Thus , it is likely that a 50 % reduction in Munc18c protein in skeletal muscle , unlike in the heart [ XREF_BIBR ] , accounted for the impaired insulin stimulated GLUT4 appearance at the PM , and glucose transport into muscle , as insulin stimulated Akt phosphorylation and syntaxin4 protein levels were normal in the Munc18c -/+ mice , as shown previously [ XREF_BIBR ] .",29,32,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"When pool 1 was still largely depleted of GLUT4 , a second insulin challenge did reduce GLUT4 in pool 2 and stimulated glucose transport to the same extent as the first insulin treatment .",12,17,reduce,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"However , in the presence of the inhibitor ( at 20 , 50 and 100microm ) , the amount of GLUT4 at the cell periphery during insulin stimulation was dramatically reduced ( ~ 75 % decrease in insulin stimulated GLUT4 at the cortex with 50 and 100microm TR100 ) .",37,40,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"Consistently , myofibers isolated from heterozygous knock-in ( KI ) mice harboring the mutation p.R465W , an animal model of CNM 11 , exhibit reduced actin polymerization , altered actin organization and impaired insulin induced insertion of GLUT4 into the sarcolemma .",33,38,induced,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"Although insulin and cAMP both repress the GLUT4 promoter through this cis-element , they appear to do this through different mechanisms , as treatment with 8-Br-cAMP does not induce the phosphorylation of NF1 that is induced by insulin treatment .",1,8,repress,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"CDP138 mutants lacking the Ca 2+ -binding sites in the C2 domain or Akt2 phosphorylation site Ser197 inhibit insulin stimulated GLUT4 insertion into the PM , a rate limiting step of GLUT4 translocation .",18,21,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
A short-term insulin stimulation reduced the content of GLUT4 in the GSV fraction ( 51 +/- 3.5 % ) with only a modest decrease from the endosomal fraction ( 23 +/- 2.6 % ) .,2,9,reduced,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"In conclusion , we present evidence that insulin reduces the mobility of GLUT4 vesicles within the TIRF zone , and Myo1c is required for such immobilization through its association with submembrane actin .",7,13,reduces,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"The insulin dependent loss of GLUT4 vesicles from the TIRF zone was greatly attenuated in cells depleted of Myo1c , which instead exhibited only a 29 +/- 9 % drop in GLUT4 vesicle number in response to insulin relative to the basal condition ( n = 4 , 6-8 ROI and cell ; Figure S2B ) .",1,6,loss,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"In cells depleted of mVps45 , insulin stimulated GLUT4 translocation was significantly impaired ( fluorescent rings of GFP-GLUT4 were evident in < 15 % of cells from three separate experiments of this type ) .",6,9,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"Interestingly , reduced PM PIP 2 and cortical F-actin structure are observed in hyperinsulinemia induced insulin resistant 3T3-L1 adipocytes and L6 myotubes where insulin stimulated GLUT4 translocation is impaired , but corrected with exogenous PIP 2 addition to the PM by provoking a restoration of cortical F-actin structure [ XREF_BIBR , XREF_BIBR ] .",23,26,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"Indeed , loss of ChREBP in adipocytes delays insulin stimulated Glut4 exocytosis .",8,11,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Glut4"""
Insulin decreases the rate of GLUT4 endocytosis in addition to increasing its exocytosis .,0,6,decreases,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Insulin""","""GLUT4"""
"Calorie restriction improved insulin sensitivity in Pinx rats , and this was related to increased GLUT4 gene expression and insulin induced GLUT4 translocation to the plasma membrane in WAT .",19,22,induced,Positive_early_activation,Positive_activation,Positive_activation,"""insulin""","""GLUT4"""
Insulin slows GLUT4 internalization by an unknown mechanism .,0,3,slows,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Insulin""","""GLUT4"""
Insulin induced GLUT4 translocation is disrupted in muscle fibers isolated from HTZ KI-R465W mice .,0,3,induced,Positive_early_activation,Positive_activation,Negative_activation,"""Insulin""","""GLUT4"""
"Instead , insulin stimulated muscle glucose uptake was diminished with concomitant reductions in glucose transporter 4 ( GLUT4 ) protein content .",2,18,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"The ability of insulin to inhibit Rip11 internalisation requires dynamin and class I PI3-kinases , but is independent of the activation of the protein kinase Akt ; characteristics which are very similar to the mechanism by which insulin inhibits GLUT4 endocytosis .",37,40,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""insulin""","""GLUT4"""
"In fact in insulin resistant humans and rodents , insulin stimulated Glut4 translocation is also impaired in adipocytes .",9,12,stimulated,Positive_activation_token_1_verb,Positive_activation,Negative_activation,"""insulin""","""Glut4"""
Insulin stimulated glucose uptake in skeletal muscle is decreased in type 2 diabetes due to impaired translocation of insulin sensitive glucose transporter 4 ( GLUT4 ) from intracellular pool to plasma membrane .,0,25,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Insulin""","""GLUT4"""
Myo1c knockdown reduces insulin stimulated gain in surface GLUT4 .,3,9,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""insulin""","""GLUT4"""
"GAPDH knockdown had no effect on surface exposed GLUT4-Myc in basal or insulin stimulated cells , but markedly and selectively diminished insulin stimulated 3-O-methyl glucose uptake and GLUT4-Myc photolabelling with ATB-BMPA { 2-N-[ 4-( 1-azitrifluoroethyl ) benzoyl ] -1,3-bis-( D-mannos-4-yloxy )-2-propylamine } , suggesting that the exofacial glucose binding site was inaccessible .",21,28,stimulated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""insulin""","""GLUT4-Myc"""
